"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Sethi Y.; Patel N.; Kaka N.; Desai A.; Kaiwan O.; Sheth M.; Sharma R.; Huang H.; Chopra H.; Khandaker M.U.; Lashin M.M.A.; Hamd Z.Y.; Emran T.B.","Sethi, Yashendra (57862678600); Patel, Neil (57404248200); Kaka, Nirja (57403216100); Desai, Ami (26535691700); Kaiwan, Oroshay (57998170600); Sheth, Mili (57998295900); Sharma, Rupal (58266445200); Huang, Helen (57578256800); Chopra, Hitesh (57217071283); Khandaker, Mayeen Uddin (36836773700); Lashin, Maha M. A. (57210114712); Hamd, Zuhal Y. (57997911100); Emran, Talha Bin (55325267100)","57862678600; 57404248200; 57403216100; 26535691700; 57998170600; 57998295900; 58266445200; 57578256800; 57217071283; 36836773700; 57210114712; 57997911100; 55325267100","Artificial Intelligence in Pediatric Cardiology: A Scoping Review","2022","Journal of Clinical Medicine","11","23","7072","","","32","10.3390/jcm11237072","https://www.scopus.com/pages/publications/85143595194?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85143595194"
"Sharma A.; Dam T.; Mwangelwa S.; Kabengele C.; Kilembe W.; Vwalika B.; Inambao M.; Secor W.E.; Parker R.; Skarkey T.; Allen S.; Madabhushi A.; Wall K.M.","Sharma, Akanksha (60265533300); Dam, Tanmoy (57221150681); Mwangelwa, Sepo (58876507100); Kabengele, Chishiba (57225026382); Kilembe, William (35176223600); Vwalika, Bellington (26536934800); Inambao, Mubiana (23492414700); Secor, W. Evan (7004063907); Parker, Rachel (57220880494); Skarkey, Tyronza (60410164300); Allen, Susan (55822964344); Madabhushi, Anant (6603019206); Wall, Kristin M. (8954824900)","60265533300; 57221150681; 58876507100; 57225026382; 35176223600; 26536934800; 23492414700; 7004063907; 57220880494; 60410164300; 55822964344; 6603019206; 8954824900","AID-FGS: Artificial intelligence-enabled diagnosis of female genital schistosomiasis: Preliminary findings","2026","PLOS Digital Health","5","2 February","e0001255","","","0","10.1371/journal.pdig.0001255","https://www.scopus.com/pages/publications/105030665913?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030665913"
"Ren Y.; Shan X.; Ding G.; Ai L.; Zhu W.; Ding Y.; Yu F.; Chen Y.; Wu B.","Ren, Yingchun (59336993100); Shan, Xiaoying (59553117100); Ding, Gengchao (59553142500); Ai, Ling (57218567263); Zhu, Weiying (59553167000); Ding, Ying (59553107800); Yu, Fuzhou (59553142600); Chen, Yun (59553117200); Wu, Beijiao (59553159000)","59336993100; 59553117100; 59553142500; 57218567263; 59553167000; 59553107800; 59553142600; 59553117200; 59553159000","Risk factors and machine learning prediction models for intrahepatic cholestasis of pregnancy","2025","BMC Pregnancy and Childbirth","25","1","89","","","5","10.1186/s12884-025-07180-4","https://www.scopus.com/pages/publications/85217623876?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217623876"
"Adamyan L.V.; Kotova E.G.; Pivazyan L.G.; Seregina V.Yu.; Avetisyan D.S.; Mailova K.S.; Osipova A.A.","Adamyan, L.V. (7006372422); Kotova, E.G. (58687481800); Pivazyan, L.G. (57214320085); Seregina, V.Yu. (58687482000); Avetisyan, D.S. (58515530600); Mailova, K.S. (7801503116); Osipova, A.A. (59402931400)","7006372422; 58687481800; 57214320085; 58687482000; 58515530600; 7801503116; 59402931400","Artificial intelligence in reproductive medicine and surgery","2025","Russian Journal of Human Reproduction","31","4","","10","25","0","10.17116/repro20253104110","https://www.scopus.com/pages/publications/105016860820?origin=resultslist","Review","Final","","Scopus","2-s2.0-105016860820"
"Bashingwa J.J.H.; Mohan D.; Chamberlain S.; Scott K.; Ummer O.; Godfrey A.; Mulder N.; Moodley D.; Lefevre A.E.","Bashingwa, Jean Juste Harrisson (57189758963); Mohan, Diwakar (56545218000); Chamberlain, Sara (57208887602); Scott, Kerry (36570952800); Ummer, Osama (57205329299); Godfrey, Anna (57208882202); Mulder, Nicola (7102238454); Moodley, Deshendran (8601861800); Lefevre, Amnesty Elizabeth (57202686722)","57189758963; 56545218000; 57208887602; 36570952800; 57205329299; 57208882202; 7102238454; 8601861800; 57202686722","Can we design the next generation of digital health communication programs by leveraging the power of artificial intelligence to segment target audiences, bolster impact and deliver differentiated services? A machine learning analysis of survey data from rural India","2023","BMJ Open","13","3","e063354","","","8","10.1136/bmjopen-2022-063354","https://www.scopus.com/pages/publications/85150666084?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85150666084"
"Quin C.","Quin, Christina (59314443700)","59314443700","A Path to Improved Fetal Cardiovascular Health Outcomes Using Machine Learning","2025","2025 IEEE Conference on AI and Data Analytics, ICAD 2025","","","","","","0","10.1109/ICAD65464.2025.11114073","https://www.scopus.com/pages/publications/105016119032?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105016119032"
"Gunaratne S.H.; Tieu H.-V.; Wilkin T.J.; Taylor B.S.","Gunaratne, Shauna H. (57222866427); Tieu, Hong-Van (35185800900); Wilkin, Timothy J. (7005059808); Taylor, Barbara S. (8913338600)","57222866427; 35185800900; 7005059808; 8913338600","CROI 2025: The Challenges of Sustaining Viral Suppression, Addressing Advanced HIV Disease, and Ending the HIV Epidemic Targets","2025","Topics in Antiviral Medicine","33","3","","569","595","0","","https://www.scopus.com/pages/publications/105012930030?origin=resultslist","Review","Final","","Scopus","2-s2.0-105012930030"
"Zhang D.; Qu Y.; Xu Z.; Li Z.; Ma H.; Yeqi; Jiang Y.","Zhang, Daqian (58803464000); Qu, Yimin (57189328970); Xu, Zhongying (59963906500); Li, Zuowei (59963906600); Ma, Haihui (57219295293); Yeqi (59964349300); Jiang, Yu (56468331200)","58803464000; 57189328970; 59963906500; 59963906600; 57219295293; 59964349300; 56468331200","Risk assessment of early pregnancy depression based on automated retinal image analysis technology","2025","Chinese Journal of Disease Control and Prevention","29","4","","473","480","1","10.16462/j.cnki.zhjbkz.2025.04.016","https://www.scopus.com/pages/publications/105009146885?origin=resultslist","Article","Final","","Scopus","2-s2.0-105009146885"
"Hamja M.A.; Hasan M.; Jahan M.; Hassan M.Z.","Hamja, Md Amir (59498509500); Hasan, Mahmudul (58712507200); Jahan, Maknun (60434776700); Hassan, Md Ziaul (57214680773)","59498509500; 58712507200; 60434776700; 57214680773","Assessment of socioeconomic and demographic risk factors for low birth weight using model-agnostic explainable ensembles","2026","Computer Methods and Programs in Biomedicine","279","","109303","","","0","10.1016/j.cmpb.2026.109303","https://www.scopus.com/pages/publications/105031787644?origin=resultslist","Article","Final","","Scopus","2-s2.0-105031787644"
"dos Santos G.G.","dos Santos, Gustavo Gonçalves (57219258184)","57219258184","Using artificial intelligence as a technological tool in gynecologic and obstetric health: A narrative literature review","2026","International Journal of Gynecology and Obstetrics","172","2","","850","865","3","10.1002/ijgo.70455","https://www.scopus.com/pages/publications/105013457751?origin=resultslist","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013457751"
